"label","id","genus","species","species_reference","lifestyle","habitat_reference","terrane","country","province","locality","site","siteN","type_locality","latitude","longitude","elevation","SIA","BDNF","NXC1","CYTB","ND4","tiplabsite","label_clean","oldgenus","gensp","reference","fontface","outgroup","gcol"
"MB508_Callulops_doriae_complex_sp_1","MB508","Callulops","doriae complex sp.1","Boulenger 1888","fossorial","Butler field notes","dentrecasteaux","Papua New Guinea","Milne Bay Province","Normanby Island","Buyetai",64,"",-10.0619,150.98416,2,"MZ634775","MZ635010","MZ635247","MZ635480","MZ647924","MB508-Callulops_doriae_complex_sp.1-Buyetai-Normanby_Island","MB508 Callulops doriae complex sp.1","Callulops","Callulops doriae complex sp.1",FALSE,"italic",FALSE,"#F4FF00"
"MB518_Mantophryne_cf__lateralis_1","MB518","Mantophryne","cf. lateralis.1","","terrestrial","Butler field notes","dentrecasteaux","Papua New Guinea","Milne Bay Province","Normanby Island","Buyetai",64,"",-10.0619,150.98416,2,"MZ634776","MZ635011","MZ635248","MZ635481","MZ647925","MB518-Mantophryne_cf._lateralis.1-Buyetai-Normanby_Island","MB518 Mantophryne cf. lateralis.1","Mantophryne","Mantophryne cf. lateralis.1",FALSE,"italic",FALSE,"#ffd8b1"
"MB539_Austrochaperina_C_aff__palmipes_2","MB539","Austrochaperina C","aff. palmipes.2","Zweifel 1953","semi-aquatic","Zweifel 1953","dentrecasteaux","Papua New Guinea","Milne Bay Province","Normanby Island","Buyetai",64,"",-10.0619,150.98416,2,"MZ634777","MZ635012","MZ635249","MZ635482","MZ647926","MB539-Austrochaperina_C_aff._palmipes.2-Buyetai-Normanby_Island","MB539 Austrochaperina C aff. palmipes.2","Austrochaperina C","Austrochaperina C aff. palmipes.2",FALSE,"italic",FALSE,"#e6194B"
"MB556_Hylophorbus_cf__rufescens_1","MB556","Hylophorbus","cf. rufescens.1","","terrestrial","Butler field notes","dentrecasteaux","Papua New Guinea","Milne Bay Province","Normanby Island","Buyetai",64,"",-10.0619,150.98416,2,"MZ634778","MZ635013","MZ635250","MZ635483","MZ647927","MB556-Hylophorbus_cf._rufescens.1-Buyetai-Normanby_Island","MB556 Hylophorbus cf. rufescens.1","Hylophorbus","Hylophorbus cf. rufescens.1",FALSE,"italic",FALSE,"#00FF59"
"MB571_Cophixalus_variabilis_complex_sp_3","MB571","Cophixalus","variabilis complex sp.3","Kraus & Allison 2006","scansorial","Butler field notes","dentrecasteaux","Papua New Guinea","Milne Bay Province","Normanby Island","Buyetai",64,"",-10.0619,150.98416,2,"MZ634779","MZ635014","MZ635251","MZ635484","MZ647928","MB571-Cophixalus_variabilis_complex_sp.3-Buyetai-Normanby_Island","MB571 Cophixalus variabilis complex sp.3","Cophixalus","Cophixalus variabilis complex sp.3",FALSE,"italic",FALSE,"#6FFF00"
"MB583_Cophixalus_verrucosus_complex_sp_2","MB583","Cophixalus","verrucosus complex sp.2","Parker 1934","scansorial","MB field notes","dentrecasteaux","Papua New Guinea","Milne Bay Province","Normanby Island","Buyetai",64,"",-10.0619,150.98416,2,"MZ634780","MZ635015","MZ635252","MZ635485","MZ647929","MB583-Cophixalus_verrucosus_complex_sp.2-Buyetai-Normanby_Island","MB583 Cophixalus verrucosus complex sp.2","Cophixalus","Cophixalus verrucosus complex sp.2",FALSE,"italic",FALSE,"#6FFF00"
"MB593_Liophryne_aff__dentata_3","MB593","Liophryne","aff. dentata.3","Zweifel 2000","terrestrial","Butler field notes","dentrecasteaux","Papua New Guinea","Milne Bay Province","Normanby Island","Buyetai",64,"",-10.0619,150.98416,2,"MZ634781","MZ635016","MZ635253","MZ635486","MZ647930","MB593-Liophryne_aff._dentata.3-Buyetai-Normanby_Island","MB593 Liophryne aff. dentata.3","Liophryne","Liophryne aff. dentata.3",FALSE,"italic",FALSE,"#00FF9B"
"MB617_Cophixalus_desticans_complex_sp_1","MB617","Cophixalus","desticans complex sp.1","Kraus & Allison 2009","terrestrial","Butler field notes","dentrecasteaux","Papua New Guinea","Milne Bay Province","Normanby Island","Buyetai",64,"",-10.0619,150.98416,2,"MZ634782","MZ635017","MZ635254","MZ635487","MZ647931","MB617-Cophixalus_desticans_complex_sp.1-Buyetai-Normanby_Island","MB617 Cophixalus desticans complex sp.1","Cophixalus","Cophixalus desticans complex sp.1",FALSE,"italic",FALSE,"#6FFF00"
"MB626_Genyophryne_aff__thomsoni_2","MB626","Genyophryne","aff. thomsoni.2","","fossorial","Butler field notes","dentrecasteaux","Papua New Guinea","Milne Bay Province","Normanby Island","Buyetai",64,"",-10.0619,150.98416,2,"MZ634783","MZ635018","MZ635255","MZ635488","MZ647932","MB626-Genyophryne_aff._thomsoni.2-Buyetai-Normanby_Island","MB626 Genyophryne aff. thomsoni.2","Genyophryne","Genyophryne aff. thomsoni.2",FALSE,"italic",FALSE,"#808000"
"MB627_Auparoparo_penelopia","MB627","Auparoparo","penelopia","Kraus 2016","arboreal","Butler field notes","dentrecasteaux","Papua New Guinea","Milne Bay Province","Normanby Island","Buyetai",64,"",-10.0619,150.98416,2,"MZ634784","MZ635019","MZ635256","MZ635489","MZ647933","MB627-Oreophryne_B_penelopia-Buyetai-Normanby_Island","MB627 Auparoparo penelopia","Oreophryne B","Auparoparo penelopia",FALSE,"italic",FALSE,"#000075"
